slot30,avg_absret_bp,avg_range_bp,n,session
04:00,18.21054417085303,42.27570721199378,1938,US pre-market (London/overlap)
04:30,6.775540606981399,15.072828201259801,1944,US pre-market (London/overlap)
05:00,6.898352608912435,14.76166098446611,1946,US pre-market (London/overlap)
05:30,6.671358038196914,14.14296058538484,1975,US pre-market (London/overlap)
06:00,7.298647806157045,15.14779508193586,1980,US pre-market (London/overlap)
06:30,7.084917530189915,14.893752374128587,1980,US pre-market (London/overlap)
07:00,8.322913157503855,28.45798867902852,1980,US pre-market (London/overlap)
07:30,6.966288202690311,15.97862394114054,1980,US pre-market (London/overlap)
08:00,7.685903005875217,23.612210944289092,1980,US pre-market (London/overlap)
08:30,8.944070746830471,29.380788057444875,1980,US pre-market (London/overlap)
09:00,11.086958274523509,34.31238881200398,1815,US pre-market (London/overlap)
09:30,34.16276620044089,64.35525198907486,1980,NY OPEN killzone
10:00,21.125627255766698,41.74624147377779,1980,NY OPEN killzone
10:30,18.373544936176515,36.104607106379866,1980,NY OPEN killzone
11:00,15.205653498765358,30.327163452404875,1980,NY lunch / midday
11:30,13.515299270353205,27.318324385007955,1980,NY lunch / midday
12:00,11.96422258620766,24.02124044247033,1980,NY lunch / midday
12:30,11.30066988656447,22.83136175781159,1980,NY lunch / midday
13:00,11.46822847241149,22.602167722851462,1980,Early PM
13:30,10.638936480182368,20.732815243088798,1980,Early PM
14:00,10.26003274302098,20.592897896411504,1980,Early PM
14:30,9.567375545342195,19.55001083833357,1980,Early PM
15:00,10.804580760054089,21.19625545263555,1980,NY CLOSE / power hour
15:30,13.17069209443285,25.603866871422483,1980,NY CLOSE / power hour
16:00,8.487108722052197,38.149391512845334,1980,US post-market
16:30,11.222085367856318,116.61972514802744,1980,US post-market
17:00,5.727672125813392,93.9368045132116,1980,US post-market
17:30,4.305031003920034,32.94513516543439,1980,US post-market
18:00,5.840060686809404,23.9981265924186,1980,US post-market
18:30,4.48409131509366,12.725585260317304,1980,US post-market
19:00,4.567470714452384,11.304591847699507,1980,US post-market
19:30,4.613634519180921,10.891577919199099,1980,US post-market
